_to,_from,cityFrom,cityTo,time
446,447,Taldykorgan,Ucharal,377
447,448,Ucharal,Taskesken,176
448,449,Taskesken,Ayagoz,115
448,973,Taskesken,Bakhty,134
450,451,Oskemen,Ridder,
452,453,Rennes,Le Mans,99
453,478,Le Mans,Angers,72
453,479,Le Mans,Tours,69
453,885,Le Mans,Rouen,131
454,874,Reims,Charleroi,
454,881,Reims,Charleville-Mézières,64
454,885,Reims,Rouen,171
455,456,Saarbrücken,Mannheim,87
455,882,Saarbrücken,Trier,72
456,457,Mannheim,Heilbronn,63
458,459,Rozvadov,Plzeň,
459,687,Plzeň,Karlovy Vary,70
459,688,Plzeň,České Budějovice,121
459,694,Plzeň,Bayerisch Eisenstein,83
460,461,Trenčín,Prešov,187
460,1045,Trenčín,Žiar nad Hronom,86
461,462,Prešov,Košice,
461,1018,Prešov,Svidník,
462,463,Košice,Vyšné Nemecké,83
462,464,Košice,Uzhhorod,152
462,717,Košice,Miskolc,84
462,735,Košice,Zvolen,163
463,464,Vyšné Nemecké,Uzhhorod,88
464,465,Uzhhorod,Mukachevo,
464,1047,Uzhhorod,Chop,
465,466,Mukachevo,Stryj,138
465,748,Mukachevo,Halmeu,91
467,468,Khmelnytskyi,Vinnytsia,124
468,469,Vinnytsia,Uman,143
468,1067,Vinnytsia,Mohyliv-Podilskyi,107
469,470,Uman,Kirovohrad,164
470,471,Kirovohrad,Dnipropetrovsk,270
470,896,Kirovohrad,Chişinău,370
470,1068,Kirovohrad,Poltava,245
471,472,Dnipropetrovsk,Donetsk,267
472,473,Donetsk,Rostov-on-Don,183
473,474,Rostov-on-Don,Armavir,1037
473,899,Rostov-on-Don,Taganrog,78
475,476,Lorient,Vannes,
476,477,Vannes,Nantes,82
477,478,Nantes,Angers,66
477,900,Nantes,Poitiers,133
478,479,Angers,Tours,83
479,620,Tours,Vierzon,78
480,481,Montargis,Auxerre,
481,482,Auxerre,Beaune,87
482,483,Beaune,Dole,
482,628,Beaune,Antwerp,357
483,484,Dole,Besançon,
484,485,Besançon,Belfort,72
486,487,Zürich,Winterthur,
487,488,Winterthur,St. Gallen,
487,672,Winterthur,Schaffhausen,
488,489,St. Gallen,St. Margrethen,
489,490,St. Margrethen,Bregenz,
489,675,St. Margrethen,Buchs,
490,491,Bregenz,Feldkirch,
490,674,Bregenz,Lindau,
491,492,Feldkirch,Landeck,70
491,494,Feldkirch,Lauterach,
491,495,Feldkirch,Imst,84
492,493,Landeck,Telfs,
497,696,Sattledt,Liezen,
497,893,Sattledt,Wels,
498,499,Sankt Pölten,Vienna,
499,500,Vienna,Nickelsdorf,
499,689,Vienna,Halámky,115
499,698,Vienna,Graz,129
500,501,Nickelsdorf,Mosonmagyaróvár,
502,503,Szolnok,Püspökladány,67
503,504,Püspökladány,Oradea,92
503,1046,Püspökladány,Nyíregyháza,78
504,505,Oradea,Cluj-Napoca,160
504,737,Oradea,Berettyóújfalu,
504,738,Oradea,Beiuş,68
504,749,Oradea,Satu Mare,122
504,910,Oradea,Arad,105
505,506,Cluj-Napoca,Turda,
505,750,Cluj-Napoca,Zalău,93
505,1052,Cluj-Napoca,Dej,
506,507,Turda,Târgu Mureş,81
506,751,Turda,Sebeş,79
507,508,Târgu Mureş,Braşov,156
508,509,Braşov,Ploieşti,109
508,752,Braşov,Sibiu,136
508,753,Braşov,Piteşti,169
508,1048,Braşov,Bacău,179
509,1053,Ploieşti,Buzău,67
510,511,Slobozia,Hârşova,71
510,758,Slobozia,Galaţi,99
511,512,Hârşova,Constanţa,74
512,513,Constanţa,Agigea,
512,554,Constanţa,Varna,135
512,759,Constanţa,Tulcea,107
513,1095,Agigea,Negru Vodă,
514,515,Poti,Senaki,
514,558,Poti,Batumi,82
515,516,Senaki,Samtredia,
515,785,Senaki,Zugdidi,
516,517,Samtredia,Kutaisi,
516,1108,Samtredia,Lanchkhuti,
517,518,Kutaisi,Khashuri,106
518,519,Khashuri,Gori,
520,521,Rustavi,Ganja,
521,522,Ganja,Yevlakh,
523,524,Ashgabat,Tejen,157
523,951,Ashgabat,Gaudan,
524,525,Tejen,Mary,118
525,526,Mary,Türkmenabat,208
526,527,Türkmenabat,Alat,
528,529,Karshi,Guzar,81
529,530,Guzar,Sherobod,151
530,531,Sherobod,Termez,66
532,533,Jirgatal,Sary Tash,
532,959,Jirgatal,Khorugh,
533,534,Sary Tash,Irkeshtam,73
534,956,Irkeshtam,Osh,
535,536,A Coruña,Bilbao,317
535,591,A Coruña,Pontevedra,83
536,1139,Bilbao,Logroño,86
537,621,Clermont-Ferrand,Montluçon,77
537,622,Clermont-Ferrand,Montpellier,205
538,539,Chambéry,Susa,
538,1110,Chambéry,Marseille,216
539,540,Susa,Turin,
540,1112,Turin,Savona,
541,542,Tortona,Brescia,108
543,544,Trieste,Postojna,
543,545,Trieste,Ljubljana,72
544,545,Postojna,Ljubljana,
545,699,Ljubljana,Maribor,83
545,702,Ljubljana,Naklo,
547,548,Vršac,Timişoara,73
548,549,Timişoara,Drobeta-Turnu Severin,194
548,910,Timişoara,Arad,
549,550,Drobeta-Turnu Severin,Craiova,95
550,551,Craiova,Alexandria,79
550,741,Craiova,Târgu Jiu,96
550,742,Craiova,Calafat,62
550,753,Craiova,Piteşti,120
552,553,Razgrad,Shumen,
553,554,Shumen,Varna,61
554,760,Varna,Burgas,118
555,556,Ordu,Giresun,
556,557,Giresun,Trabzon,111
557,558,Trabzon,Batumi,180
559,560,Lisbon,Valladolid,338
559,593,Lisbon,Porto,
559,594,Lisbon,Albufeira,143
561,562,Toulouse,Nice,329
562,911,Nice,Cuneo,147
563,564,Sofia,Plovdiv,104
563,745,Sofia,Botevgrad,
563,746,Sofia,Blagoevgrad,75
563,1154,Sofia,Kyustendil,85
564,565,Plovdiv,Istanbul,290
565,566,Istanbul,İzmit,85
566,567,İzmit,Gerede,154
566,580,İzmit,Bursa,101
567,568,Gerede,Amasya,251
567,775,Gerede,Kızılcahamam,
568,569,Amasya,Erzurum,396
569,570,Erzurum,Gürbulak,226
570,571,Gürbulak,Iran,899
572,573,Mazara del Vallo,Palermo,99
574,575,Reggio Calabria,Metaponto,216
575,576,Metaponto,Taranto,
575,1150,Metaponto,Potenza,77
577,931,Ioannina,Trikala,122
577,1164,Ioannina,Arta,
578,766,Gelibolu,Keşan,
578,767,Gelibolu,Ayvalık,219
579,580,Lapseki,Bursa,175
580,581,Bursa,Ankara,282
580,1155,Bursa,Balıkesir,98
581,582,Ankara,Adana,323
581,775,Ankara,Kızılcahamam,66
581,928,Ankara,Yozgat,156
582,583,Adana,Nusaybin,382
583,584,Nusaybin,Khabur River,483
584,585,Khabur River,Iraq,437
586,587,Larne,Belfast,
587,588,Belfast,Newry,
587,812,Belfast,Derry,90
587,820,Belfast,Craigavon,
588,589,Newry,Dundalk,
589,590,Dundalk,Drogheda,
591,592,Pontevedra,Valença,96
592,593,Valença,Porto,
593,918,Porto,Vila Real,
594,595,Albufeira,Castro Marim,60
595,596,Castro Marim,Huelva,
597,598,Cherbourg-Octeville,La Rochelle,303
597,884,Cherbourg-Octeville,Caen,81
598,1072,La Rochelle,Niort,
598,1073,La Rochelle,Saintes,
600,601,Oslo,Hamar,92
600,819,Oslo,Sandvika,
600,829,Oslo,Drammen,
600,830,Oslo,Askim,
601,602,Hamar,Lillehammer,64
602,603,Lillehammer,Dombås,124
603,604,Dombås,Trondheim,170
603,985,Dombås,Åndalsnes,89
604,605,Trondheim,Stjørdal,
604,634,Trondheim,Orkanger,
605,606,Stjørdal,Steinkjer,74
606,607,Steinkjer,Mosjøen,237
607,608,Mosjøen,Mo i Rana,85
608,609,Mo i Rana,Rognan,125
608,800,Mo i Rana,Umeå,381
609,610,Rognan,Fauske,
612,613,Setermoen,Alta,
613,614,Alta,Olderfjord,
614,615,Olderfjord,Lakselv,
614,716,Olderfjord,Nordkapp,131
615,616,Lakselv,Karasjok,
617,618,Pau  Pyrénées-Atlantiques,Jaca,114
618,619,Jaca,Zaragoza,94
619,1139,Zaragoza,Logroño,105
620,621,Vierzon,Montluçon,80
623,624,Doncaster,Sheffield,
623,841,Doncaster,Immingham,
624,625,Sheffield,Nottingham,62
625,626,Nottingham,Leicester,
626,627,Leicester,Northampton,
628,862,Antwerp,Zeebrugge,81
629,902,Martigny,Sion,
633,842,Bremen,Groningen,115
633,991,Bremen,Bremerhaven,
633,992,Bremen,Walsrode,
634,635,Orkanger,Vinjeøra,
635,636,Vinjeøra,Halsa,
636,637,Halsa,Straumsnes,
637,638,Straumsnes,Kristiansund Mainland Connection,
638,639,Kristiansund Mainland Connection,Batnfjordsøra,
639,640,Batnfjordsøra,Molde,
641,642,Vestnes,Skodje,
642,643,Skodje,Ålesund,
643,644,Ålesund,Volda,97
643,984,Ålesund,Tresfjord,61
644,645,Volda,Nordfjordeid,63
646,647,Sandane,Førde,74
647,648,Førde,Lavik,
649,650,Instefjord,Knarvik,62
650,651,Knarvik,Bergen,
651,652,Bergen,Os,
651,813,Bergen,Arna,
653,654,Stord,Sveio,
654,655,Sveio,Aksdal,
655,656,Aksdal,Bokn,
657,658,Rennesøy,Randaberg,
658,659,Randaberg,Stavanger,
659,660,Stavanger,Sandnes,
660,661,Sandnes,Helleland,
661,662,Helleland,Flekkefjord,
662,663,Flekkefjord,Lyngdal,60
663,664,Lyngdal,Mandal,
664,665,Mandal,Kristiansand,
665,824,Kristiansand,Arendal,
666,667,Hirtshals,Hjørring,
667,668,Hjørring,Nørresundby,
671,672,Stuttgart,Schaffhausen,108
671,673,Stuttgart,Ulm,
673,674,Ulm,Lindau,
674,890,Lindau,Waldshut,125
675,676,Buchs,Chur,
676,677,Chur,San Bernardino,
679,680,Puttgarden,Oldenburg in Holstein,
680,681,Oldenburg in Holstein,Lübeck,
682,683,Halle,Plauen,114
682,1026,Halle,Tournai,445
683,684,Plauen,Schönberg,379
683,692,Plauen,Hof,
684,685,Schönberg,Vojtanov,418
685,686,Vojtanov,Cheb,
686,687,Cheb,Karlovy Vary,
686,887,Cheb,Marktredwitz,
687,1030,Karlovy Vary,Teplice,86
688,689,České Budějovice,Halámky,
688,1043,České Budějovice,Humpolec,88
691,692,Hirschberg,Hof,
692,693,Hof,Bayreuth,
693,886,Bayreuth,Schweinfurt,75
693,887,Bayreuth,Marktredwitz,
694,695,Bayerisch Eisenstein,Deggendorf,
696,697,Liezen,Sankt Michael,89
696,1081,Liezen,Altenmarkt im Pongau,60
697,698,Sankt Michael,Graz,141
698,699,Graz,Maribor,
698,700,Graz,Spielfeld,
698,907,Graz,Klagenfurt,92
698,908,Graz,Veszprém,173
699,700,Maribor,Spielfeld,
701,702,Karavanke Tunnel,Naklo,
702,1082,Naklo,Loiblpass,
703,704,Kemijärvi,Posio,86
704,705,Posio,Kuusamo,
705,706,Kuusamo,Kajaani,176
706,707,Kajaani,Iisalmi,70
707,708,Iisalmi,Kuopio,66
709,710,Tampere,Turku,129
709,809,Tampere,Vaasa,188
709,811,Tampere,Hämeenlinna,
710,810,Turku,Pori,
711,728,Riga,Šiauliai,113
711,845,Riga,Ventspils,146
711,846,Riga,Rēzekne,186
712,713,Kłodzko,Kudowa-Zdrój,
713,714,Kudowa-Zdrój,Náchod,
714,715,Náchod,Hradec Králové,
715,1031,Hradec Králové,Olomouc,116
717,736,Miskolc,Debrecen,78
720,721,Szekszárd,Mohács,
721,722,Mohács,Osijek,
722,723,Osijek,Đakovo,
722,1092,Osijek,Sombor,76
723,724,Đakovo,Šamac,
724,725,Šamac,Zenica,134
725,726,Zenica,Mostar,154
725,1091,Zenica,Donji Vakuf,75
725,1116,Zenica,Sarajevo,63
726,727,Mostar,Metković,
728,729,Šiauliai,Tolpaki,165
728,1009,Šiauliai,Palanga,117
728,1010,Šiauliai,Panevėžys,70
729,730,Tolpaki,Kaliningrad,
729,859,Tolpaki,Nesterov,70
733,734,Trstená,Ružomberok,
734,735,Ružomberok,Zvolen,66
736,737,Debrecen,Berettyóújfalu,
738,739,Beiuş,Deva,127
739,740,Deva,Petroşani,81
739,752,Deva,Sibiu,75
739,910,Deva,Arad,123
740,741,Petroşani,Târgu Jiu,63
743,744,Vidin,Vraca,108
744,745,Vraca,Botevgrad,
745,755,Botevgrad,Jablanica,635
746,747,Blagoevgrad,Serres,104
748,749,Halmeu,Satu Mare,
749,750,Satu Mare,Zalău,92
751,752,Sebeş,Sibiu,
752,753,Sibiu,Piteşti,164
754,755,Pleven,Jablanica,708
756,757,Izmail,Reni,61
757,758,Reni,Galaţi,
758,759,Galaţi,Tulcea,111
758,1069,Galaţi,Giurgiuleşti,
760,761,Burgas,Malko Tarnovo,63
761,762,Malko Tarnovo,Dereköy,
762,763,Dereköy,Kırklareli,
763,764,Kırklareli,Babaeski,
764,765,Babaeski,Havsa,
765,766,Havsa,Keşan,81
766,922,Keşan,Tekirdağ,75
767,768,Ayvalık,İzmir,110
768,769,İzmir,Selçuk,
768,935,İzmir,Usak,170
768,1156,İzmir,Manisa,
768,1157,İzmir,Çeşme,61
769,770,Selçuk,Aydın,127
770,771,Aydın,Denizli,93
771,772,Denizli,Acıpayam,
772,773,Acıpayam,Korkuteli,87
773,774,Korkuteli,Antalya,79
776,777,Toprakkale,İskenderun,
777,778,İskenderun,Antakya,71
778,779,Antakya,Yayladağı,
779,780,Yayladağı,Syria,347
781,782,Kherson,Dzhankoy,175
781,897,Kherson,Mykolaiv,72
781,898,Kherson,Melitopol,213
783,784,Sochi,Sukhumi,144
784,785,Sukhumi,Zugdidi,92
786,787,Şanlıurfa,Diyarbakır,135
787,788,Diyarbakır,Bitlis,168
788,789,Bitlis,Doğubeyazit,219
789,790,Doğubeyazit,Iğdir,
790,791,Iğdir,Dilucu,91
791,792,Dilucu,Sadarak,
792,949,Sadarak,Nakhchivan,65
793,794,Jönköping,Linköping,89
794,795,Linköping,Norrköping,
795,796,Norrköping,Södertälje,87
795,844,Norrköping,Kalmar,175
797,798,Uppsala,Sundsvall,205
798,799,Sundsvall,Örnsköldsvik,118
799,800,Örnsköldsvik,Umeå,83
801,802,Haparanda,Tornio,
802,807,Tornio,Kolari,142
803,804,Tromsø,Nordkjosbotn,64
804,805,Nordkjosbotn,Skibotn,
805,806,Skibotn,Kilpisjärvi,
806,807,Kilpisjärvi,Kolari,207
808,809,Kokkola,Vaasa,94
809,810,Vaasa,Pori,
813,814,Arna,Voss,
814,815,Voss,Lærdal,123
815,816,Lærdal,Tyin,
816,817,Tyin,Fagernes,84
817,818,Fagernes,Hønefoss,111
818,819,Hønefoss,Sandvika,
821,822,Stranraer,Gretna,
822,823,Gretna,Carlisle,989
824,825,Arendal,Porsgrunn,85
825,826,Porsgrunn,Larvik,
826,827,Larvik,Sandefjord,
827,828,Sandefjord,Horten,
828,829,Horten,Drammen,
829,983,Drammen,Kongsberg,
830,831,Askim,Karlstad,124
832,833,Västerås,Stockholm/Kapellskär,119
835,836,Kotka,Vaalimaa,
836,837,Vaalimaa,Vyborg,63
838,839,Holyhead,Chester,
839,840,Chester,Warrington,
842,987,Groningen,Hoogeveen,
843,993,Sassnitz,Stralsund,
846,847,Rēzekne,Velikiye Luki,164
846,996,Rēzekne,Daugavpils,72
846,997,Rēzekne,Ostrov,
848,849,Vladimir,Nizhny Novgorod,
849,850,Nizhny Novgorod,Kazan,344
850,851,Kazan,Yelabuga,156
851,852,Yelabuga,Perm,
852,853,Perm,Yekaterinburg,
853,854,Yekaterinburg,Tyumen,273
856,857,Koszalin,Słupsk,66
857,858,Słupsk,Gdynia,105
859,860,Nesterov,Marijampolė,
862,1027,Zeebrugge,Jabbeke,
867,868,Aktobe,Karabutak,208
868,869,Karabutak,Aral,
869,870,Aral,Novokazalinsk,
871,872,Dunkirk,Lille,
872,873,Lille,Mons,
873,874,Mons,Charleroi,
874,875,Charleroi,Namur,
874,1028,Charleroi,Nivelles,
876,877,St. Vith,Wittlich,
877,878,Wittlich,Bingen,79
878,879,Bingen,Wiesbaden,
880,881,Amiens,Charleville-Mézières,155
882,883,Trier,Koblenz,83
884,885,Caen,Rouen,89
884,1023,Caen,Saint-Brieuc,145
891,892,Regensburg,Passau,80
892,893,Passau,Wels,
893,1044,Wels,Braunau am Inn,65
894,895,Iaşi,Sculeni,
894,1065,Iaşi,Săbăoani,76
894,1066,Iaşi,Bălţi,95
895,896,Sculeni,Chişinău,122
896,1064,Chişinău,Leuşeni,80
896,1069,Chişinău,Giurgiuleşti,206
898,899,Melitopol,Taganrog,277
900,901,Poitiers,Mâcon,301
902,903,Sion,Simplon,67
903,904,Simplon,Gravellona Toce,61
905,906,Innichen,Spittal an der Drau,101
907,1082,Klagenfurt,Loiblpass,
908,909,Veszprém,Székesfehérvár,
911,912,Cuneo,Asti,
913,914,Pisa,Migliarino,157
915,916,Grosseto,Arezzo,111
916,917,Arezzo,Sansepolcro,
918,919,Vila Real,Bragança,74
918,1128,Vila Real,Viseu,67
918,1129,Vila Real,Chaves,
919,920,Bragança,Zamora,113
919,1131,Bragança,Guarda,121
920,921,Zamora,Tordesillas,
922,923,Tekirdağ,Silivri,
924,925,Kristalopigi,Florina,
925,926,Florina,Vévi,
926,927,Vévi,Géfira,474
928,929,Yozgat,Sivas,162
929,930,Sivas,Refahiye,137
933,934,Megara,Attiki Odos,
935,936,Usak,Afyonkarahisar,84
936,937,Afyonkarahisar,Sivrihisar,99
938,939,Topboğazi,Kırıkhan,
939,940,Kırıkhan,Reyhanlı,
940,941,Reyhanlı,Cilvegözü,
942,943,Sadakhlo,Bagratashen,
943,944,Bagratashen,Vanadzor,132
945,946,Saatly Rayon,Mehgri,441
946,947,Mehgri,Ordubad,163
947,948,Ordubad,Djulfa,
948,949,Djulfa,Nakhchivan,
950,952,Uchkuduk,Kzylorda,964
954,955,Kokand,Andijan,132
955,956,Andijan,Osh,
957,958,Kulob,Kalaikhumb,189
958,959,Kalaikhumb,Khorugh,292
959,960,Khorugh,Murghab,293
959,962,Khorugh,Ishkoshim,121
960,961,Murghab,Kulma,
962,963,Ishkoshim,Lyanga,
963,964,Lyanga,China,
965,966,Kokpek,Kegen,64
965,968,Kokpek,Chundzha,
966,967,Kegen,Tyup,94
968,969,Chundzha,Koktal,366
969,970,Koktal,Khorgas,
971,972,Usharal,Druzhba,130
974,975,Zapadnoe,Zhaksy,
974,978,Zapadnoe,Petropavl,
975,976,Zhaksy,Atbasar,70
979,980,Haugesund,Røldal,132
980,981,Røldal,Haukeli,
981,982,Haukeli,Seljord,92
982,983,Seljord,Kongsberg,112
984,985,Tresfjord,Åndalsnes,
987,988,Hoogeveen,Haselünne,
988,989,Haselünne,Cloppenburg,
990,991,Cuxhaven,Bremerhaven,
993,994,Stralsund,Neubrandenburg,66
995,996,Ukmergė,Daugavpils,122
995,1010,Ukmergė,Panevėžys,
998,999,Tartu,Võru,
998,1001,Tartu,Jõhvi,95
998,1002,Tartu,Valga,66
999,1000,Võru,Luhamaa,
1002,1003,Valga,Valka,
1003,1004,Valka,Valmiera,
1004,1005,Valmiera,Incukalns,65
1006,1007,Keila,Paldiski,
1011,1012,Breda,Gorinchem,
1011,1013,Breda,Flushing,1400
1014,1015,Hasselt,Heerlen,
1016,1017,Barwinek,Vyšný Komárnik,330
1017,1018,Vyšný Komárnik,Svidník,
1019,1020,Lublin,Kovel,132
1021,1022,Trosna,Glukhkov,134
1024,1025,Roeselare,Kortrijk,
1025,1026,Kortrijk,Tournai,
1031,1033,Olomouc,Český Těšín,84
1034,1035,Courtney,Troyes,
1038,1039,Memmingen,Füssen,
1040,1041,Garmisch-Partenkirchen,Mittenwald,
1041,1042,Mittenwald,Seefeld,
1046,1047,Nyíregyháza,Chop,
1049,1050,Dunajská Streda,Medveďov,
1050,1051,Medveďov,Vámosszabadi,
1054,1055,Sărăţel,Reghin,
1055,1056,Reghin,Topliţa,64
1056,1057,Topliţa,Gheorgheni,
1057,1058,Gheorgheni,Miercurea-Ciuc,
1058,1059,Miercurea-Ciuc,Sfântu Gheorghe,67
1059,1060,Sfântu Gheorghe,Chichiş,
1061,1062,Tişiţa,Tecuci,
1062,1063,Tecuci,Albiţa,127
1063,1064,Albiţa,Leuşeni,
1066,1067,Bălţi,Mohyliv-Podilskyi,107
1070,1071,Krasnodar,Djoubga,
1073,1074,Saintes,Angoulême,68
1074,1075,Angoulême,Limoges,84
1076,1077,Digoin,Chalon-sur-Saône,64
1079,1080,St. Johann in Tirol,Lofer,
1084,1085,Balatonkeresztúr,Nagyatád,
1085,1086,Nagyatád,Barcs,
1086,1087,Barcs,Virovitica,
1087,1088,Virovitica,Okučani,91
1088,1089,Okučani,Banja Luka,65
1089,1090,Banja Luka,Jajce,74
1090,1091,Jajce,Donji Vakuf,
1090,1115,Jajce,Bihać,131
1093,1094,Lugoj,Ilia,
1095,1096,Negru Vodă,Kardam,
1097,1098,Ashtarak,Gyumri,98
1098,1099,Gyumri,Ashotsk,
1099,1100,Ashotsk,Akhalkalaki,78
1100,1101,Akhalkalaki,Akhaltsikhe,82
1101,1102,Akhaltsikhe,Vale  Georgia,
1102,1103,Vale  Georgia,Türkgözü,
1103,1104,Türkgözü,Posof,
1104,1105,Posof,Kars,131
1105,1106,Kars,Horasan,90
1107,1108,Supsa,Lanchkhuti,
1109,1111,Grenoble,Valence,63
1113,1114,Pula,Koper,79
1116,1117,Sarajevo,Užice,185
1117,1118,Užice,Čačak,60
1118,1119,Čačak,Kraljevo,
1118,1124,Čačak,Nova Varoš,126
1119,1120,Kraljevo,Kruševac,67
1120,1121,Kruševac,Pojate,
1121,1122,Pojate,Paraćin,
1122,1123,Paraćin,Zaječar,77
1127,1128,Coimbra,Viseu,74
1129,1130,Chaves,Verín,
1129,1140,Chaves,Famalicão,85
1131,1132,Guarda,Castelo Branco,72
1132,1133,Castelo Branco,Portalegre,74
1132,1142,Castelo Branco,Abrantes,62
1133,1134,Portalegre,Évora,76
1134,1135,Évora,Beja,63
1135,1136,Beja,Ourique,
1137,1138,Salamanca,Mérida,
1141,1142,Torres Novas,Abrantes,
1145,1146,Avellino,Benevento,
1147,1148,Spezzano Albanese,Sybaris,
1151,1152,Sant'Eufemia Lamezia,Catanzaro,
1155,1156,Balıkesir,Manisa,111
1158,1159,Jaén,Granada,63
1160,1161,Buonfornello,Enna,64
1162,1163,Alcamo,Trapani,
1164,1165,Arta,Agrinio,62
1165,1166,Agrinio,Messolonghi,
1167,1168,Aktio,Vonitsa,
1168,1169,Vonitsa,Amfilochia,
1169,1170,Amfilochia,Karpenisi,148
1171,1172,Sparti,Gytheio,
1173,1174,Eleusina,Thebes,
